COD_DANE,COD_DEPARTAMENTO,DEPARTAMENTO,COD_MUNICIPIO,MUNICIPIO,FECHA1erFIS
91001,91,AMAZONAS,001,LETICIA,3/31/2020
91405,91,AMAZONAS,405,LA CHORRERA,6/15/2020
91407,91,AMAZONAS,407,LA PEDRERA,7/17/2020
91540,91,AMAZONAS,540,PUERTO NARIÑO,4/15/2020
91669,91,AMAZONAS,669,PUERTO SANTANDER,6/24/2020
91798,91,AMAZONAS,798,TARAPACÁ,6/21/2020
05001,05,ANTIOQUIA,001,MEDELLÍN,2/29/2020
05002,05,ANTIOQUIA,002,ABEJORRAL,7/5/2020
05004,05,ANTIOQUIA,004,ABRIAQUÍ,7/6/2020
05021,05,ANTIOQUIA,021,ALEJANDRÍA,7/26/2020
05030,05,ANTIOQUIA,030,AMAGÁ,4/9/2020
13030,13,BOLÍVAR,030,ALTOS DEL ROSARIO,7/12/2020
05031,05,ANTIOQUIA,031,AMALFI,7/4/2020
05034,05,ANTIOQUIA,034,ANDES,4/4/2020
05036,05,ANTIOQUIA,036,ANGELÓPOLIS,7/27/2020
05038,05,ANTIOQUIA,038,ANGOSTURA,3/18/2020
05040,05,ANTIOQUIA,040,ANORÍ,7/6/2020
05044,05,ANTIOQUIA,044,ANZÁ,6/10/2020
05045,05,ANTIOQUIA,045,APARTADÓ,3/14/2020
05051,05,ANTIOQUIA,051,ARBOLETES,5/10/2020
05059,05,ANTIOQUIA,059,ARMENIA,7/1/2020
13074,13,BOLÍVAR,074,BARRANCO DE LOBA,3/12/2020
05086,05,ANTIOQUIA,086,BELMIRA,7/9/2020
05091,05,ANTIOQUIA,091,BETANIA,7/28/2020
05093,05,ANTIOQUIA,093,BETULIA,6/23/2020
05101,05,ANTIOQUIA,101,CIUDAD BOLÍVAR,6/20/2020
05107,05,ANTIOQUIA,107,BRICEÑO,5/19/2020
05113,05,ANTIOQUIA,113,BURITICÁ,4/1/2020
05120,05,ANTIOQUIA,120,CÁCERES,3/10/2020
05125,05,ANTIOQUIA,125,CAICEDO,6/24/2020
05129,05,ANTIOQUIA,129,CALDAS,3/20/2020
05134,05,ANTIOQUIA,134,CAMPAMENTO,7/2/2020
05142,05,ANTIOQUIA,142,CARACOLÍ,6/18/2020
05145,05,ANTIOQUIA,145,CARAMANTA,7/24/2020
05147,05,ANTIOQUIA,147,CAREPA,3/10/2020
05148,05,ANTIOQUIA,148,EL CARMEN DE VIBORAL,4/24/2020
